Crypto,Date,Open,High,Low,Close
BTC,11/11/2019,9052,9105,8618,8744
BTC,11/10/2019,8805,9127,8756,9052
BTC,11/09/2019,8867,8878,8733,8803
BTC,11/08/2019,9211,9248,8687,8867
BTC,11/07/2019,9318,9374,9108,9211
BTC,11/06/2019,9360,9446,9268,9318
BTC,11/05/2019,9447,9486,9200,9359
BTC,11/04/2019,9161,9540,9136,9447
BTC,11/03/2019,9322,9385,9088,9168
BTC,11/02/2019,9223,9398,9214,9322
BTC,11/01/2019,9180,9298,9072,9222
BTC,10/31/19,9192,9412,8976,9180
BTC,10/30/19,9453,9472,9033,9193
BTC,10/29/19,9461,9549,9111,9453
BTC,10/28/19,9611,9928,9285,9467
BTC,10/27/19,9132,9799,9103,9611
BTC,10/26/19,8578,10412,8578,9143
BTC,10/25/19,7464,8746,7417,8589
BTC,10/24/19,7496,7515,7369,7464
BTC,10/23/19,8137,8137,7338,7499
BTC,10/22/19,8211,8310,8100,8137
BTC,10/21/19,8238,8317,8169,8211
BTC,10/20/19,7960,8311,7906,8245
BTC,10/19/19,7955,8087,7902,7952
BTC,10/18/19,8054,8124,7849,7957
BTC,10/17/19,7995,8126,7947,8054
BTC,10/16/19,8157,8184,7929,7994
BTC,10/15/19,8349,8406,8133,8157
BTC,10/14/19,8265,8400,8232,8349
BTC,10/13/19,8352,8470,8174,8265
BTC,10/12/2019,8346,8407,8257,8350
BTC,10/11/2019,8583,8791,8297,8346
BTC,10/10/2019,8599,8665,8475,8582
BTC,10/09/2019,8137,8692,8130,8599
BTC,10/08/2019,8224,8345,8120,8138
BTC,10/07/2019,7911,8311,7790,8217
BTC,10/06/2019,8110,8199,7797,7911
BTC,10/05/2019,8177,8228,8031,8109
BTC,10/04/2019,8157,8293,8063,8177
BTC,10/03/2019,8245,8423,8100,8156
BTC,10/02/2019,8382,8423,8182,8245
BTC,10/01/2019,8246,8528,8202,8392
BTC,9/30/19,8022,8362,7741,8246
BTC,9/29/19,8182,8338,7940,8023
BTC,9/28/19,8074,8279,8041,8182
BTC,9/27/19,8104,8143,7887,8074
BTC,9/26/19,8524,8657,7785,8104
BTC,9/25/19,8589,8798,8252,8528
BTC,9/24/19,9791,9802,8064,8589
BTC,9/23/19,10016,10082,9725,9793
BTC,9/22/19,9972,10084,9864,10016
BTC,9/21/19,10145,10189,9965,9972
BTC,9/20/19,10267,10317,10099,10145
BTC,9/19/19,10202,10372,9710,10267
BTC,9/18/19,10260,10269,10105,10202
BTC,9/17/19,10223,10354,10149,10271
BTC,9/16/19,10284,10380,10108,10212
BTC,9/15/19,10425,10445,10276,10284
BTC,9/14/19,10268,10428,10260,10425
BTC,9/13/19,10337,10470,10173,10268
BTC,09/12/2019,10108,10375,10054,10335
BTC,09/11/2019,10059,10224,9869,10106
BTC,09/10/2019,10239,10388,9945,10059
BTC,09/09/2019,10370,10536,10101,10239
BTC,09/08/2019,10522,10593,10301,10366
BTC,09/07/2019,10358,10564,10299,10522
BTC,09/06/2019,10520,10933,10232,10357
BTC,09/05/2019,10629,10696,10483,10523
BTC,09/04/2019,10714,10825,10401,10631
BTC,09/03/2019,10407,10768,10297,10713
BTC,09/02/2019,9644,10460,9644,10407
BTC,09/01/2019,9505,9689,9480,9641
BTC,8/31/19,9635,9656,9466,9505
BTC,8/30/19,9530,9687,9370,9638
BTC,8/29/19,9672,9752,9345,9530
BTC,8/28/19,10144,10281,9599,9673
BTC,8/27/19,10270,10400,10033,10144
BTC,8/26/19,10001,10645,9936,10268
BTC,8/25/19,10105,10329,9972,10003
BTC,8/24/19,10365,10454,9913,10105
BTC,8/23/19,10186,10460,10064,10357
BTC,8/22/19,10156,10230,9779,10186
BTC,8/21/19,10707,10849,9891,10162
BTC,8/20/19,10685,10957,10582,10707
BTC,8/19/19,10370,10836,10276,10677
BTC,8/18/19,10080,10511,10079,10370
BTC,8/17/19,10398,10487,10027,10074
BTC,8/16/19,10380,10549,9775,10398
BTC,8/15/19,10177,10398,9517,10374
BTC,8/14/19,10889,10901,10070,10177
BTC,8/13/19,11428,11442,10778,10898
BTC,08/12/2019,11418,11563,11275,11428
BTC,08/11/2019,11321,11468,11119,11411
BTC,08/11/2019,11878,11977,11239,11321
BTC,08/09/2019,11616,12072,11615,11879
